"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TATAMOTORS","EQ","29-Mar-2016","        363.30","        364.00","        378.95","        363.05","        371.65","        372.45","        372.03","    9364810","          3484029966.40","     115670"
"TATAMOTORS","EQ","30-Mar-2016","        372.45","        380.50","        391.50","        376.80","        391.10","        388.60","        383.25","   10295891","          3945907239.95","     126689"
"TATAMOTORS","EQ","31-Mar-2016","        388.60","        387.90","        393.60","        380.50","        388.70","        386.60","        387.94","   10738707","          4165952832.60","     115837"
"TATAMOTORS","EQ","01-Apr-2016","        386.60","        386.40","        386.40","        377.70","        380.15","        379.65","        380.66","    5683771","          2163561151.65","      62111"
"TATAMOTORS","EQ","04-Apr-2016","        379.65","        385.95","        391.00","        382.40","        387.40","        388.40","        387.25","    6011729","          2328038453.30","      96258"
"TATAMOTORS","EQ","05-Apr-2016","        388.40","        386.00","        386.00","        369.00","        370.05","        370.50","        377.62","    6058241","          2287710483.50","      89624"
"TATAMOTORS","EQ","06-Apr-2016","        370.50","        373.70","        382.40","        372.05","        376.25","        376.70","        378.00","    7323269","          2768164576.40","      88551"
"TATAMOTORS","EQ","07-Apr-2016","        376.70","        375.95","        384.80","        370.30","        375.20","        375.20","        377.63","    8724110","          3294463129.85","     115339"
"TATAMOTORS","EQ","08-Apr-2016","        375.20","        375.50","        380.05","        370.50","        371.60","        371.45","        374.60","    4860484","          1820726699.70","      66676"
"TATAMOTORS","EQ","11-Apr-2016","        371.45","        373.95","        387.80","        373.90","        386.00","        386.65","        381.14","    6827449","          2602205795.65","      92223"
"TATAMOTORS","EQ","12-Apr-2016","        386.65","        387.95","        397.40","        387.15","        395.50","        395.80","        393.05","    7702684","          3027549941.80","     105900"
"TATAMOTORS","EQ","13-Apr-2016","        395.80","        400.00","        411.75","        398.15","        408.65","        408.75","        407.13","   12373115","          5037443990.90","     168964"
"TATAMOTORS","EQ","18-Apr-2016","        408.75","        407.65","        409.90","        402.50","        407.00","        407.35","        406.23","    5571076","          2263116756.50","      77253"
"TATAMOTORS","EQ","20-Apr-2016","        407.35","        407.00","        410.35","        400.65","        403.85","        404.10","        405.83","    7589901","          3080243737.20","     100611"
"TATAMOTORS","EQ","21-Apr-2016","        404.10","        408.70","        417.20","        406.00","        410.50","        411.50","        411.43","    9211869","          3790068646.45","     111112"
"TATAMOTORS","EQ","22-Apr-2016","        411.50","        412.10","        420.50","        408.00","        417.10","        417.00","        416.08","    5995998","          2494804238.35","      75965"
"TATAMOTORS","EQ","25-Apr-2016","        417.00","        417.60","        417.60","        410.00","        412.00","        412.20","        412.76","    3272996","          1350953355.85","      63481"
"TATAMOTORS","EQ","26-Apr-2016","        412.20","        408.65","        423.65","        405.05","        418.35","        419.05","        416.78","    6998505","          2916830580.80","     106925"
"TATAMOTORS","EQ","27-Apr-2016","        419.05","        418.95","        425.25","        414.65","        419.10","        418.55","        420.75","    6227941","          2620408235.70","      95959"
"TATAMOTORS","EQ","28-Apr-2016","        418.55","        418.80","        420.95","        409.70","        410.45","        411.35","        413.77","    7546101","          3122376408.40","     150016"
"TATAMOTORS","EQ","29-Apr-2016","        411.35","        410.00","        413.70","        403.05","        408.10","        408.35","        407.72","    6251095","          2548713443.55","     104590"
"TATAMOTORS","EQ","02-May-2016","        408.35","        407.95","        410.45","        402.50","        408.20","        407.70","        406.96","    4178821","          1700632782.15","      57962"
"TATAMOTORS","EQ","03-May-2016","        407.70","        410.90","        422.00","        407.80","        408.85","        409.65","        415.54","    9620804","          3997866699.80","     104175"
"TATAMOTORS","EQ","04-May-2016","        409.65","        405.50","        405.50","        380.10","        383.15","        381.80","        389.08","   12069134","          4695882346.70","     136649"
